Reference number,Property area,Type,Parking,Condition,Furnishing,Air conditioning,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Included,Online viewing,Construction year,Postal code
3594,73,Apartment,No,Resale,Fully Furnished,"Full, all rooms",N/A,2,2603,1,2-bedroom apartment fоr sаle,"Larnaca, Meneou",5872366,Posted: 24.09.2025 15:39,190000,200000,PLUS WISE ESTATES LTD,"Posting since jul, 2023","Sea view, two bedroom apartment in Meneou, Larnaca. The property can be found in an amazing family orientated location near to an abundance of amenities such as supermarkets, bakeries, schools, pharmacies, coffee shops, restaurants etc. The city center is 12.5 km away and a 5.5 km drive to Larnaca International Airport..The apartment consists of an open plan kitchen, living, dining area, two bedrooms, a main bathroom with a bathtub and a covered veranda with beautiful sea views..The internal area of the property is 73 sq. m and has a covered veranda of 10 sq. m..There is another two-bedroom apartment available, featuring an internal area of 80 sqm and a covered veranda of 10 sqm, priced at Euro195,000.",34.8618571,33.5954577,,Balcony,,Older,
53081,54,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,3796,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6009577,Posted: 24.09.2025 15:35,205000,3796,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, One Bedroom Apartment for sale in Drosia area, Larnaca. It is situated in an amazing location, just 3 km from Finikoudes Beach, a few minutes from Metropolis Mall and close to all essential amenities (school, shops etc). The location combines convenience and exclusivity..Apartment on the third floor for sale in Larnaca, in Drosia area. It consists of an open plan kitchen, living, dining area, one bedroom, a main shower room and covered veranda. Moreover, the property has private access to a covered parking and storage..The project boasts 12 one-, two- bedroom apartments, all with spacious and contemporary living areas. Three top floor apartments benefit from private roof-gardens with amazing views of the lovely neighborhood. Each apartment has one parking bay and a storage room..Extra: Provision A/C, Covered Veranda, Covered parking, Storage room, Elevator",34.91401613876045,33.62005995556953,3rd,"Storage room, Elevator",No,,
7819,110,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,3,4864,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5166924,Posted: 24.09.2025 15:29,535000,4864,M.Residence Ltd,"Posting since feb, 2017","New project in the Golden Square of Larnaca! A luxurious building, situated at only 2 minutes from Mackenzie beach in one of the most prestigious and touristic areas in Larnaca, at a walking distance from restaurants and cafes, a spacious one bedroom flat with high specs, which includes high end materials, full a/c, granite kitchen tops and many more.",34.9014878,33.6428893,,,,,
10966,78,Apartment,Covered,Under construction,Unfurnished,No,A,2,3038,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5960556,Posted: 24.09.2025 15:28,237000,3038,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom flat is set within an exclusive two-block complex, offering residents access to a sparkling common swimming pool and a fully equipped gym. Elevated in an open and serene location, the property boasts pool view, while also offering vistas of the surrounding landscape. Designed with a focus on high quality construction and contemporary aesthetics, the flat combines comfort with sophistication. Bright interiors, spacious layouts, and sleek finishes create a refined living environment, making it an ideal choice for those seeking a permanent home or a seaside retreat. The development enjoys a prime location, close to all amenities, with excellent access to the highway and just minutes from the beach, offering both convenience and an exceptional lifestyle.",34.9637964,33.6463553,,,,,
10967,78,Apartment,Covered,Under construction,Unfurnished,No,A,2,3205,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5960555,Posted: 24.09.2025 15:28,250000,3205,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom flat is set within an exclusive two block complex, offering residents access to a sparkling common swimming pool and a fully equipped gym. Elevated in an open and serene location, the property boasts breathtaking sea views, stretching across the Larnaca coastline and beyond, while also offering vistas of the surrounding landscape. Designed with a focus on high quality construction and contemporary aesthetics, the flat combines comfort with sophistication. Bright interiors, spacious layouts, and sleek finishes create a refined living environment, making it an ideal choice for those seeking a permanent home or a seaside retreat. The development enjoys a prime location, close to all amenities, with excellent access to the highway and just minutes from the beach, offering both convenience and an exceptional lifestyle.",34.9622525,33.6449304,,,,,
10968,78,Penthouse,Covered,Under construction,Unfurnished,No,A,2,4295,2,2-bedroom penthouse fоr sаle,"Larnaca, Livadia Larnakas",5960554,Posted: 24.09.2025 15:28,335000,4295,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom penthouse is set within an exclusive two block complex, offering residents access to a sparkling common swimming pool and a fully equipped gym. Elevated in an open and serene location, the property boasts breathtaking sea views, stretching across the Larnaca coastline and beyond, while also offering vistas of the surrounding landscape. Designed with a focus on high quality construction and contemporary aesthetics, the flat combines comfort with sophistication. Bright interiors, spacious layouts, and sleek finishes create a refined living environment, making it an ideal choice for those seeking a permanent home or a seaside retreat. The development enjoys a prime location, close to all amenities, with excellent access to the highway and just minutes from the beach, offering both convenience and an exceptional lifestyle.",34.9622964,33.6448874,,,,,
10972,76,Apartment,Covered,Under construction,Unfurnished,No,A,2,2961,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5960552,Posted: 24.09.2025 15:28,225000,2961,M.Residence Ltd,"Posting since feb, 2017","A collection of 8 contemporary two bedroom apartments, thoughtfully crafted to reflect the essence of modern city living. Ideally positioned in a prime location, the residences offer effortless access to the blue flag beaches, as well as a vibrant array of shopping, dining, and entertainment options. Combining quality, comfort, and convenience, these apartments present the perfect place to call home.",34.9386834,33.632691,,,,,
10973,76,Penthouse,Covered,Under construction,Unfurnished,No,A,2,4079,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Sotiros",5960551,Posted: 24.09.2025 15:28,310000,4079,M.Residence Ltd,"Posting since feb, 2017","A collection of 8 contemporary two bedroom apartments, thoughtfully crafted to reflect the essence of modern city living. Ideally positioned in a prime location, the residences offer effortless access to the blue flag beaches, as well as a vibrant array of shopping, dining, and entertainment options. Combining quality, comfort, and convenience, these apartments present the perfect place to call home.",34.9397186,33.6337876,,,,,
52851,72,Apartment,Uncovered,Resale,Fully Furnished,"Full, all rooms",C,2,3264,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5960498,Posted: 24.09.2025 15:17,235000,3264,Kalogirou Real Estate,"Posting since mar, 2017","Sea view, renovated, two bedroom apartment for sale in Makenzy area, Larnaca. The flat takes place 300 meters from the beach. Close to amenities, a variety of shops and entertainment facilities. Within walking distance to the promenade and Larnaca town center. The Larnaca International Airport is just a few minutes away..Sixth floor apartment for sale in Makenzy Larnaca. It is renovated & equipped with a/c split units. The flat consists of an open plan kitchen-dining-living area, a main bathroom with shower and wc, two bedrooms and two covered balconies. Internal covered area is 72 sqm and covered balconies around 10 sqm..The area of the property is characterized as quiet, residential and touristic..The flat is a great opportunity for someone who is looking to invest in short term rent, for example, at Airbnb, or for long term rent. It is also perfectly suitable for a personal use..Title Deed Available..Extra: Sea View, Renovated, Furnished, Kitchen Appliances, Walking Distance to the Beach, Elevator..Title Deed Available.",34.906586,33.635877,6th,"Elevator, Balcony",No,Older,6027
6991,50,Apartment,Covered,Under construction,Fully Furnished,"Full, all rooms",A,1,2900,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6009553,Posted: 24.09.2025 15:14,145000,2900,CY Property Group,"Posting since jul, 2022","For sale is a modern one bedroom apartment in the desirable Vergina area..It is located just 3 minutes from Metropolis Mall, one of Larnaca’s prime shopping destinations..This well-designed unit offers 50 square meter of internal space and includes one comfortable bedroom and one stylish bathroom..Located on the first floor of a three-story building, the apartment combines practicality with privacy. The contemporary layout features an open-plan living and dining area, complemented by large windows that bring in natural light and offer a pleasant city view..It includes a central air conditioning system to ensure your comfort all year long. The property boasts an A rating for energy efficiency, providing a more sustainable and cost-effective lifestyle..The area offers quick access to the highway, making commuting easy. Essential services, shops, cafes, and schools are all nearby, making it ideal for residents seeking both comfort and convenience..Parking is convenient and well-organized for all residents. Each apartment comes with a dedicated private parking space, while two visitor parking spots are available for guests, enhancing comfort and accessibility.",,,1st,"Storage room, Balcony",Yes,,6041
6999,82,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,3268,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919115,Posted: 24.09.2025 15:01,268000,3268,2BUY&2LET,"Posting since jul, 2021","The two-bedroom apartment is expertly crafted to blend modern style with practical comfort, making them perfect for small families, roommates, or couples who need extra space. With generous interiors, elegant finishes, and smart layouts, each unit provides a refined and spacious living experience. Residents also benefit from exclusive access to premium on-site amenities, including a communal swimming pool and a fully equipped gym—offering the ideal balance of relaxation, wellness, and convenience..Price Euro268,000(+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,"Pool, Storage room, Elevator, Balcony",,,7060
6997,50,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,3740,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919050,Posted: 24.09.2025 15:01,187000,3740,2BUY&2LET,"Posting since jul, 2021","The one-bedroom apartment is thoughtfully designed to offer a balance of comfort and modern living, ideal for individuals or couples. Each unit features a spacious layout with high-quality finishes, creating a stylish and functional home environment. Residents can enjoy access to premium amenities, including a communal swimming pool and a fully equipped gym, providing both relaxation and convenience within the development..Price Euro187,000 (+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,"Pool, Storage room, Elevator, Balcony",,,7060
6975,82,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,3195,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919086,Posted: 24.09.2025 15:01,262000,3195,2BUY&2LET,"Posting since jul, 2021","The two-bedroom apartment is expertly crafted to blend modern style with practical comfort, making them perfect for small families, roommates, or couples who need extra space. With generous interiors, elegant finishes, and smart layouts, each unit provides a refined and spacious living experience. Residents also benefit from exclusive access to premium on-site amenities, including a communal swimming pool and a fully equipped gym—offering the ideal balance of relaxation, wellness, and convenience..Price Euro262,000(+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,"Pool, Storage room, Elevator, Balcony",,,7060
6971,50,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,3740,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919164,Posted: 24.09.2025 15:01,187000,3740,2BUY&2LET,"Posting since jul, 2021","The one-bedroom apartment is thoughtfully designed to offer a balance of comfort and modern living, ideal for individuals or couples. Each unit features a spacious layout with high-quality finishes, creating a stylish and functional home environment. Residents can enjoy access to premium amenities, including a communal swimming pool and a fully equipped gym, providing both relaxation and convenience within the development..Price Euro187,000 (+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,"Pool, Storage room, Elevator, Balcony",,,7060
10933,78,Apartment,Covered,Under construction,Unfurnished,No,A,2,2821,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5811987,Posted: 24.09.2025 14:59,220000,2821,Next Home Estate Agency,"Posting since feb, 2017","Welcome to your new home 2 bedroom apartment for sale in the heart of Livadia, Larnaca! These spacious apartments are part of only a three floor building, a modern residential building designed for comfort and convenience. The building comprises three floors with a total of six apartments, ensuring a close-knit community feel while maintaining your privacy. The apartment boasts a modern design with an open-plan living area that seamlessly connects to a private balcony, providing a tranquil outdoor space for relaxation and entertainment..Located in the centre of Livadia, you’ll enjoy easy access to local amenities, shops, and transport links, making it an ideal choice for those seeking a blend of urban convenience and suburban serenity. Its only 3 min drive to the nearest beach of Dekelia beach and 10 min drive to city centre of Larnaca..The project is Under Construction !",34.94630050853122,33.64744195861703,1st,"Elevator, Balcony, Storage room",Yes,,
10953,78,Penthouse,Covered,Under construction,Unfurnished,No,A,2,3846,2,2-bedroom penthouse fоr sаle,"Larnaca, Livadia Larnakas",5812007,Posted: 24.09.2025 14:59,300000,negotiable,Next Home Estate Agency,"Posting since feb, 2017","Welcome to your new home 2 bedroom Penthouse apartment for sale in the heart of Livadia, Larnaca! These spacious apartments are part of only a three floor building, a modern residential building designed for comfort and convenience. The building comprises three floors with a total of six apartments, ensuring a close-knit community feel while maintaining your privacy. Your penthouse, perfect for families or those needing extra space. The apartment boasts a modern design with an open-plan living area that seamlessly connects to a private balcony, providing a tranquil outdoor space for relaxation and entertainment..Located in the centre of Livadia, you’ll enjoy easy access to local amenities, shops, and transport links, making it an ideal choice for those seeking a blend of urban convenience and suburban serenity. Its only 3 min drive to the nearest beach of Dekelia beach and 10 min drive to city centre of Larnaca..Amazing Views from the Roof Garden !.The project is Under Construction !.FLAT 301 AVAILABLE ONLY :.78 sqm Internal.21 sqm Covered veranda.52 sqm Roof Garden.151 sqm Total",34.94824357648166,33.65051724373095,3rd,"Elevator, Balcony, Storage room",Yes,2025,
10432,74,Apartment,Covered,Under construction,Unfurnished,No,A,2,2838,2,2-bedroom apartment fоr sаle,"Larnaca, Oroklini",5646101,Posted: 24.09.2025 14:56,210000,2838,Next Home Estate Agency,"Posting since feb, 2017","Available a modern residential building of fourteen apartments in Oroklini central..The project is located 500 meters from the Church of Profitis Elias. It’s very close to the shops, supermarkets, schools, and only 20 kilometers away from Larnaca airport, with direct access to the highway to Nicosia and Limassol. At a distance of 2 kilometers are the beaches of the area (Blue wave, Lebay beach and Palm Beach Hotel..The project has six 2-Bedroom and eight 1-Bedroom apartments. The Apartments Feature:.Covered Parking & Storage on the Ground Floor.Luxury Kitchen with Granite.Roof Garden (for the 2nd-Floor apartments).Energy Efficiency A+.Technical specifications:.Lobby & entrance – marble flooring.Steps & staircases – monolithic granite, or marble 2cm thick.Storage floor – ceramic tiles 30x30cm.Lift – for 6 persons/disabled access.Parking Area – stamp concrete.Apartment floors – ceramic 60x120cm.Kitchen worktop – granite-based work surface.Aluminium doors & Windows – double glazing with silver thermal aluminum MU3000.Plumbing – pipe in pipe / water pressure pumps system.Balustrades – safety laminated glass for balconies.Intercom for each apartment.Construction of the project is expected to begin in early 2025 with expected delivery in the summer of 2026.- 74 m2 internal.- 8 m2 Covered Veranda.- 40 m2 Roof Garden.Prices Starting from 210,000 + Vat",34.98031691477357,33.65591606855862,2nd,"Elevator, Balcony, Storage room",Yes,2025,
,44,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,2727,1,1-bedroom apartment fоr sаle,"Larnaca, Oroklini",5646089,Posted: 24.09.2025 14:55,120000,2727,Next Home Estate Agency,"Posting since feb, 2017","Available a modern residential building of fourteen apartments in Oroklini central..The project is located 500 meters from the Church of Profitis Elias. It’s very close to the shops, supermarkets, schools, and only 20 kilometers away from Larnaca airport, with direct access to the highway to Nicosia and Limassol. At a distance of 2 kilometers are the beaches of the area (Blue wave, Lebay beach and Palm Beach Hotel..The project has six 2-Bedroom and eight 1-Bedroom apartments. The Apartments Feature:.Covered Parking & Storage on the Ground Floor.Luxury Kitchen with Granite.Roof Garden (for the 2nd-Floor apartments).Energy Efficiency A+.Technical specifications:.Lobby & entrance – marble flooring.Steps & staircases – monolithic granite, or marble 2cm thick.Storage floor – ceramic tiles 30x30cm.Lift – for 6 persons/disabled access.Parking Area – stamp concrete.Apartment floors – ceramic 60x120cm.Kitchen worktop – granite-based work surface.Aluminium doors & Windows – double glazing with silver thermal aluminum MU3000.Plumbing – pipe in pipe / water pressure pumps system.Balustrades – safety laminated glass for balconies.Intercom for each apartment.Construction of the project is expected to begin in early 2025 with expected delivery in the summer of 2026.Starting price's from 120,000Euro.44m2 internal.5 m2 Covered Veranda",34.97980950842833,33.65604688043516,1st,"Elevator, Balcony, Storage room",Yes,2025,
ID 2922,164,Apartment,,Brand new,,,A,2,2195,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",6009272,Posted: 24.09.2025 12:47,360000,2195,N&C Kyriakides Estates Ltd,"Posting since oct, 2018","A boutique residential complex consisting of 5 whole-floorapartments located in the city center area just a few meters away from American Academy and 1 km from Finikoudes Beach..Each apartment offers 2 spacious bedrooms with ensuites and an open plan kitchen and living room along with a guest toilet offering a comfortable living for each resident with the utmost privacy. Each floor has 88 square meters of covered areas and 2 additional covered verandas of 19 square meters. The top floor apartment on the fifth floor offers an additional rooftop area on a surface of 60 square meters that is solely owned by apartment 501..The lovely residential neighbourhood is quiet and family orientated surrounded by large luxury houses and residential properties. The project is very near to supermarkets, and private schools such as the American Academy and with immediate access to highways to Nicosia, Limassol, Paphos, and Ammochostos. Being fully designed and studied a professional team of Architects, Engineers, and Interior Designers, the modern design makes excellent use of features like top-quality Italian ceramic finish, unique glass balconies, and clever layout of living areas designed to offer optional space, privacy, and views of the prestigious Finikoudes Beach..The project will have an energy efficiency of grade “A” since a photovoltaic system will be installed on the roof to produce renewable energy. The photovoltaic panels through “net metering” will make sure owners benefit from significant savings in electricity consumption..Availabilty:.Flat 501 only with extra roof garden area at 60sqm.",34.9090913340898,33.63404273986816,5th,"Elevator, Balcony",,,
2639,75,Apartment,No,Resale,,No,N/A,2,2520,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",6009257,Posted: 24.09.2025 12:43,189000,2520,Property Masters,"Posting since apr, 2019","For sale is a spacious ground-floor apartment in Drosia. This modern home offers 75 square meter of internal space and has been thoughtfully renovated in 2025, blending contemporary style with practical living. The apartment features two comfortable bedrooms, one bathroom, a bright living area, and a kitchen designed for convenience and daily comfort..Located in a well-maintained building originally built in 1980, this apartment boasts large windows that provide plenty of natural light and a pleasant city view. The layout makes the most of each square meter, offering a welcoming atmosphere for small families, couples, or professionals..Town Center is known for its vibrant atmosphere and excellent location. Residents enjoy being surrounded by shops, cafes, restaurants, and all essential amenities within walking distance. The area is well connected, making it easy to reach schools, offices, and public transport, while still offering a friendly neighborhood feel..Don't miss the opportunity to live in a fully renovated, move-in-ready apartment in a lively city setting. For more details or to schedule a viewing, contact Property Masters today.",34.91449944158859,33.62177067638981,Ground floor,,No,Older,
50293,52,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,4038,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5635240,Posted: 24.09.2025 12:18,210000,4038,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, 1- Bed Flat with Roof Garden & Pool View in Livadia area, Larnaca. Located in a calm and prestigious neighborhood, close to schools, supermarkets, banks, pharmacy and a lot more amenities. A short drive to Larnaca Town Center and the 2.2 km from the beach. Very easy access to Larnaca, Nicosia motorway. Larnaca International Airport is 15 minutes driving distance..Top Floor Apartment for sale in Livadia area, Larnaca. The apartment is on the second floor, consists of an open plan kitchen, living room and dining area, one bedroom, one bathroom with shower & wc, covered veranda with pool view and large roof garden. In addition, the property offers storage, covered parking on the ground floor and provision for jacuzzi on the roof garden. The residents can enjoy complex’s common swimming pool..The development comprised of 2 blocks of apartments and 22 apartments in total. This new project presents exceptional accommodations, blending all the essentials of an ideal home. Meticulously designed for your comfort and satisfaction, it radiates elegance. Situated in a unique location with a simple yet inviting atmosphere, it promises to make you feel right at home..Extra: Pool View, Large Roof Garden, Provision A/C, Thermal Insulation, Storage, Covered Parking, Common Pool",34.94350890862719,33.61953185265239,2nd,"Pool, Elevator",No,,7060
